cd_UGestora,dt_Ano,quantidadeAditivoPorGestao,quantidadeConviteLicitacaoPorGestao
601156,2009,1,1
601156,2013,6,0
601159,2013,2,3
601163,2009,6,7
601163,2013,28,25
601165,2009,1,11
601165,2013,43,10
601171,2013,5,8
601176,2013,2,9
601177,2009,1,19
601178,2009,2,0
601192,2013,3,0
601199,2009,2,24
601200,2009,19,95
601200,2013,30,7
601211,2009,73,22
601211,2013,3,9
601216,2009,1,1
601216,2013,8,7
601218,2013,8,1
602026,2009,1,1
602052,2013,2,6
602061,2013,5,13
602123,2009,4,97
602123,2013,55,25
602139,2013,21,17
602143,2013,1,4
602165,2013,7,4
602166,2013,3,0
602168,2013,5,13
602171,2013,24,4
602200,2013,2,1
603050,2009,8,16
603050,2013,4,0
603123,2009,8,34
603123,2013,41,8
603200,2013,2,6
604050,2009,3,1
605095,2013,3,0
606095,2013,28,2
609095,2013,1,0
610095,2013,90,16
701046,2013,1,2
701067,2013,23,0
701141,2013,1,0
701155,2009,1,0
701212,2013,1,0
